SES_Score,HealthIndicator,cluster
98.0,24.0,1
73.82,27.0,1
43.85,30.0,0
37.95,27.0,0
85.0,29.0,1
87.92,27.0,1
73.82,28.0,1
39.19,28.0,0
34.82,28.0,0
63.0,28.0,0
74.82,27.0,1
44.73,30.0,0
78.82,30.0,1
50.0,28.0,0
93.0,28.0,1
85.59,25.0,1
80.13,26.0,1
42.0,30.0,0
74.0,27.0,1
78.39,27.0,1
40.57,29.0,0
68.31,34.0,1
74.82,28.0,1
44.46,30.0,0
55.0,29.0,0
55.37,29.0,0
84.42,26.0,1
42.0,27.0,0
80.82,27.0,1
64.85,28.0,0
85.04,24.0,1
60.12,28.0,0
89.41,26.0,1
65.32,29.0,0
52.47,28.0,0
55.16,28.0,0
49.82,29.0,0
63.82,28.0,0
49.16,28.0,0
39.0,29.0,0
37.0,28.0,0
76.61,28.0,1
50.96,27.0,0
47.1,29.0,0
59.71,28.0,0
53.0,26.0,0
55.0,29.0,0
83.23,29.0,1
73.05,29.0,1
72.79,29.0,1
84.55,24.0,1
60.85,28.0,0
73.12,27.0,1
86.0,28.0,1
90.82,27.0,1
86.96,28.0,1
92.16,26.0,1
91.18,28.0,1
95.0,29.0,1
36.79,30.0,0
49.21,28.0,0
51.34,29.0,0
70.42,28.0,1
69.17,22.0,1
77.76,28.0,1
77.16,28.0,1
46.84,28.0,0
71.83,24.0,1
57.82,29.0,0
77.62,28.0,1
48.0,28.0,0
80.78,27.0,1
69.82,27.0,1
95.97,28.0,1
72.88,26.0,1
57.15,26.0,0
93.0,28.0,1
100.0,27.0,1
97.0,28.0,1
43.0,28.0,0
89.82,34.0,1
54.58,28.0,0
54.82,29.0,0
84.02,27.0,1
84.6,29.0,1
73.44,25.0,1
87.31,25.0,1
47.82,30.0,0
85.92,29.0,1
71.82,25.0,1
93.0,27.0,1
50.65,28.0,0
59.0,28.0,0
87.82,29.0,1
68.68,29.0,1
68.0,30.0,1
96.47,25.0,1
82.0,29.0,1
44.97,28.0,0
74.0,27.0,1
44.17,28.0,0
98.92,28.0,1
91.68,29.0,1
51.82,28.0,0
85.03,25.0,1
91.0,28.0,1
65.16,26.0,0
99.51,25.0,1
80.0,24.0,1
59.0,25.0,0
85.06,28.0,1
79.08,29.0,1
84.48,26.0,1
89.21,27.0,1
50.88,29.0,0
61.55,28.0,0
39.92,27.0,0
49.0,30.0,0
71.46,29.0,1
85.82,26.0,1
88.46,28.0,1
88.55,29.0,1
86.44,29.0,1
39.48,29.0,0
74.82,30.0,1
87.61,26.0,1
50.0,31.0,0
93.12,25.0,1
48.0,30.0,0
86.0,26.0,1
37.82,29.0,0
88.0,29.0,1
71.62,29.0,1
99.82,28.0,1
50.0,29.0,0
84.82,27.0,1
74.82,29.0,1
77.82,30.0,1
68.02,26.0,1
94.0,24.0,1
63.3,30.0,0
66.47,28.0,0
96.43,25.0,1
70.51,27.0,1
60.0,28.0,0
47.89,28.0,0
89.78,27.0,1
76.0,28.0,1
54.23,29.0,0
84.0,36.0,1
36.519999999999996,29.0,0
50.0,30.0,0
93.16,23.0,1
97.84,27.0,1
88.0,26.0,1
76.31,26.0,1
92.47,26.0,1
87.65,27.0,1
56.0,27.0,0
68.94,29.0,1
85.82,29.0,1
31.74,29.0,0
94.58,28.0,1
77.0,28.0,1
74.6,26.0,1
45.07,27.0,0
82.0,28.0,1
42.31,37.0,0
35.83,28.0,0
56.42,29.0,0
66.0,28.0,0
35.82,28.0,0
89.12,27.0,1
70.15,25.0,1
91.77,29.0,1
